8/6 21:34:20.049  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000022,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,641,0,4,0,0,0,1,nil,nil
8/6 21:34:20.049  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000020,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,641,0,4,0,0,0,1,nil,nil
8/6 21:34:20.049  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000021,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,641,0,4,0,0,0,1,nil,nil
8/6 21:34:20.049  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000022,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,641,0,4,0,0,0,1,nil,nil
8/6 21:34:20.049  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000021,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,335,0,4,0,0,0,nil,nil,nil
8/6 21:34:20.049  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000020,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,641,0,4,0,0,0,1,nil,nil
8/6 21:34:20.049  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000022,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,641,0,4,0,0,0,1,nil,nil
8/6 21:34:20.049  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000021,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,335,0,4,0,0,0,nil,nil,nil
8/6 21:34:20.049  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000020,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,641,0,4,0,0,0,1,nil,nil
8/6 21:34:20.049  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000020,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,335,0,4,0,0,0,nil,nil,nil
8/6 21:34:20.049  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000022,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,641,0,4,0,0,0,1,nil,nil
8/6 21:34:20.049  SPELL_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000021,"Dynamic Training Dummy",0xa28,284788,"Absolute Hellfire",0x4,641,0,4,0,0,0,1,nil,nil
8/6 21:34:20.159  SPELL_PERIODIC_DAMAGE,0x00000000000000EB,"Aliantha",0x518,0xF1300EC256000023,"Dynamic Training Dummy",0xa28,55095,"Frost Fever",0x10,82,0,16,0,0,0,nil,nil,nil
8/6 21:34:20.159  SPELL_PERIODIC_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC256000021,"Dynamic Training Dummy",0xa28,12654,"Ignite",0x4,676,0,4,0,0,0,nil,nil,nil
8/6 21:34:20.231  SPELL_CAST_FAILED,0x00000000000058E4,"Elric",0x511,0x0000000000000000,nil,0x80000000,907304,"Lightbound Cleave",0x3,"Not enough rage"
8/6 21:34:20.250  SPELL_PERIODIC_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC25600001F,"Dynamic Training Dummy",0xa28,12654,"Ignite",0x4,1083,0,4,0,0,0,nil,nil,nil
8/6 21:34:20.250  SPELL_PERIODIC_DAMAGE,0x00000000000059BA,"Mercykill",0x518,0xF1300EC25600001D,"Dynamic Training Dummy",0xa28,12654,"Ignite",0x4,543,0,4,0,0,0,nil,nil,nil
8/6 21:34:20.310  SWING_MISSED,0x00000000000058E4,"Elric",0x511,0xF1300A2D2D00009D,"Azeroth Execute Training Dummy",0x10a28,MISS
